ordem;nivel;cod_dim2;Zona Geográfica;População residente - Total;População residente - H;População residente - M;População presente - Total;População presente - H;População presente - M;Famílias - Clássicas ;Famílias - Institucionais;Núcleos familiares ;Alojamentos familiares - Total ;Alojamentos familiares - Clássicos;Alojamentos familiares - Não clássicos;Alojamentos colectivos;Edifícios clássicos
171428000;6;100116;                        Vimeiro;1948;980;968;1886;934;952;727;1;606;1068;1067;1;1;1056
171513000;6;100118;                        Martingança;1145;557;588;1098;535;563;444;0;358;598;598;0;2;566
171558000;6;100119;                        Montes;589;282;307;556;263;293;238;0;187;365;364;1;0;365
171584000;5;1005;                    Bombarral;13193;6353;6840;12593;5975;6618;5211;9;4140;8025;8016;9;13;6489
171585000;6;100501;                        Bombarral;5664;2665;2999;5398;2502;2896;2222;4;1749;3430;3428;2;6;2076
171758000;6;100502;                        Carvalhal;2634;1272;1362;2527;1203;1324;1055;1;842;1711;1711;0;3;1675
171888000;6;100503;                        Roliça;2808;1406;1402;2680;1320;1360;1107;3;875;1684;1681;3;3;1583
172014000;6;100504;                        Vale Covo;1157;566;591;1107;533;574;484;1;377;697;697;0;1;665
172083000;6;100505;                        Pó;930;444;486;881;417;464;343;0;297;503;499;4;0;490
172128000;5;1006;                    Caldas da Rainha;51729;24505;27224;49550;23203;26347;20550;48;15871;30934;30909;25;129;19202
172129000;6;100601;                        A dos Francos;1701;815;886;1661;791;870;610;5;521;875;873;2;5;854
172215000;6;100602;                        Alvorninha;2987;1451;1536;2893;1398;1495;1103;5;914;1672;1672;0;5;1642
172392000;6;100603;                        Caldas da Rainha (Nossa Senhora do Pópulo);16114;7418;8696;15342;6987;8355;6763;17;4812;9730;9725;5;89;3541
172653000;6;100604;                        Carvalhal Benfeito;1279;623;656;1239;606;633;473;0;403;666;665;1;0;653
172727000;6;100605;                        Coto;1344;645;699;1274;609;665;485;0;420;659;659;0;1;622
172772000;6;100606;                        Foz do Arelho;1339;643;696;1347;640;707;590;1;399;1721;1720;1;8;923
172839000;6;100607;                        Landal;1051;506;545;1012;487;525;384;0;334;540;540;0;0;538
172911000;6;100608;                        Nadadouro;1904;941;963;1823;886;937;696;5;568;1212;1210;2;5;1143
172979000;6;100609;                        Salir de Matos;2583;1259;1324;2488;1204;1284;956;2;817;1462;1462;0;2;1442
173094000;6;100610;                        Salir do Porto;797;373;424;756;350;406;352;0;256;898;897;1;0;766
173149000;6;100611;                        Santa Catarina;3029;1481;1548;2860;1384;1476;1069;4;904;1422;1421;1;4;1374
173276000;6;100612;                        São Gregório;955;458;497;937;440;497;354;3;296;535;535;0;3;530
173312000;6;100613;                        Serra do Bouro;703;344;359;686;330;356;298;0;237;592;591;1;0;591
173364000;6;100614;                        Tornada;3561;1737;1824;3417;1640;1777;1327;3;1109;1947;1946;1;3;1790
173453000;6;100615;                        Vidais;1159;578;581;1121;553;568;461;1;368;799;799;0;1;787
173511000;6;100616;                        Caldas da Rainha (Santo Onofre);11223;5233;5990;10694;4898;5796;4629;2;3513;6204;6194;10;3;2006
173665000;5;1011;                    Nazaré;15158;7237;7921;14676;6904;7772;5987;6;4734;13119;13099;20;29;7628
173666000;6;101101;                        Famalicão;1740;837;903;1671;795;876;685;1;540;1225;1221;4;1;1139
173759000;6;101102;                        Nazaré;10309;4906;5403;10026;4694;5332;4115;4;3197;10324;10312;12;26;5093
174163000;6;101103;                        Valado dos Frades;3109;1494;1615;2979;1415;1564;1187;1;997;1570;1566;4;2;1396
174253000;5;1012;                    Óbidos;11772;5724;6048;11650;5631;6019;4596;5;3649;8996;8989;7;31;8286
174254000;6;101201;                        A dos Negros;1489;732;757;1415;683;732;565;1;461;870;870;0;1;854
174308000;6;101202;                        Amoreira;989;478;511;1189;588;601;428;0;314;1641;1640;1;2;1312
174363000;6;101203;                        Olho Marinho;1279;642;637;1245;619;626;519;1;399;893;892;1;3;880
174419000;6;101204;                        Óbidos (Santa Maria);2032;977;1055;1969;930;1039;753;2;604;1279;1277;2;9;1255
174576000;6;101205;                        Óbidos (São Pedro);1308;618;690;1293;604;689;500;0;395;852;852;0;15;825
174670000;6;101206;                        Sobral da Lagoa;439;206;233;432;200;232;182;0;144;340;340;0;0;336
174700000;6;101207;                        Vau;952;481;471;915;461;454;378;0;307;1444;1442;2;0;1341
174777000;6;101208;                        Gaeiras;2331;1127;1204;2222;1062;1160;909;1;728;1150;1149;1;1;976
174835000;6;101209;                        Usseira;953;463;490;970;484;486;362;0;297;527;527;0;0;507
174873000;5;1014;                    Peniche;27753;13444;14309;26669;12734;13935;10971;11;8707;21162;21095;67;60;13329
174874000;6;101401;                        Peniche (Ajuda);7989;3830;4159;7781;3649;4132;3159;3;2469;4851;4800;51;14;1964
175022000;6;101402;                        Atouguia da Baleia;8954;4386;4568;8547;4143;4404;3378;4;2811;7201;7194;7;17;5122
175428000;6;101403;                        Peniche (Conceição);4643;2230;2413;4462;2116;2346;1934;0;1477;2794;2790;4;5;1457
175537000;6;101404;                        Peniche (São Pedro);2117;1032;1085;1986;961;1025;886;2;677;1423;1421;2;8;988
175609000;6;101405;                        Serra d' El-Rei;1401;685;716;1334;643;691;571;0;448;935;935;0;3;897
175710000;6;101406;                        Ferrel;2649;1281;1368;2559;1222;1337;1043;2;825;3958;3955;3;13;2901
175944000;5;1101;                    Alenquer;43267;21066;22201;42402;20649;21753;16750;17;13493;23547;23530;17;26;16332
